Graph ID,Graph Name,Vertices,Edges,Algorithm,Execution Time (ms),Operations,Total Cost
input_extra_large_G1,Graph 1 (Prim),1399,1398,Prim,148 ms,3973116,394147,0000
input_extra_large_G1,Graph 1 (Kruskal),1399,1398,Kruskal,13 ms,2835,394147,0000
input_extra_large_G2,Graph 2 (Prim),1956,1952,Prim,315 ms,7796376,547396,0000
input_extra_large_G2,Graph 2 (Kruskal),1956,1954,Kruskal,4 ms,3992,548359,0000
input_extra_large_G3,Graph 3 (Prim),1574,1571,Prim,137 ms,5044548,445677,0000
input_extra_large_G3,Graph 3 (Kruskal),1574,1572,Kruskal,4 ms,3209,445877,0000
input_large_G1,Graph 1 (Prim),364,361,Prim,13 ms,264984,105572,0000
input_large_G1,Graph 1 (Kruskal),364,362,Kruskal,1 ms,732,105636,0000
input_large_G2,Graph 2 (Prim),517,514,Prim,35 ms,541265,147524,0000
input_large_G2,Graph 2 (Kruskal),517,515,Kruskal,2 ms,1051,148086,0000
input_large_G3,Graph 3 (Prim),902,897,Prim,43 ms,1645136,254054,0000
input_large_G3,Graph 3 (Kruskal),902,899,Kruskal,1 ms,1832,255450,0000
input_large_G4,Graph 4 (Prim),542,541,Prim,19 ms,595100,157638,0000
input_large_G4,Graph 4 (Kruskal),542,541,Kruskal,1 ms,1088,157638,0000
input_large_G5,Graph 5 (Prim),968,965,Prim,44 ms,1898190,272724,0000
input_large_G5,Graph 5 (Kruskal),968,966,Kruskal,2 ms,1965,273246,0000
input_large_G6,Graph 6 (Prim),733,732,Prim,23 ms,1081896,208228,0000
input_large_G6,Graph 6 (Kruskal),733,732,Kruskal,1 ms,1346,208228,0000
input_large_G7,Graph 7 (Prim),341,338,Prim,10 ms,235944,94994,0000
input_large_G7,Graph 7 (Kruskal),341,339,Kruskal,1 ms,696,95511,0000
input_large_G8,Graph 8 (Prim),974,973,Prim,54 ms,1937243,269188,0000
input_large_G8,Graph 8 (Kruskal),974,973,Kruskal,1 ms,1966,269188,0000
input_large_G9,Graph 9 (Prim),720,717,Prim,22 ms,1058332,218738,0000
input_large_G9,Graph 9 (Kruskal),720,718,Kruskal,1 ms,1474,219379,0000
input_large_G10,Graph 10 (Prim),706,703,Prim,20 ms,1011648,204810,0000
input_large_G10,Graph 10 (Kruskal),706,704,Kruskal,1 ms,1437,205646,0000
input_medium_G1,Graph 1 (Prim),249,248,Prim,1 ms,125240,67400,0000
input_medium_G1,Graph 1 (Kruskal),249,248,Kruskal,1 ms,500,67400,0000
input_medium_G2,Graph 2 (Prim),129,128,Prim,0 ms,34176,34363,0000
input_medium_G2,Graph 2 (Kruskal),129,128,Kruskal,1 ms,212,34363,0000
input_medium_G3,Graph 3 (Prim),270,269,Prim,2 ms,147143,76637,0000
input_medium_G3,Graph 3 (Kruskal),270,269,Kruskal,1 ms,540,76637,0000
input_medium_G4,Graph 4 (Prim),266,265,Prim,3 ms,143365,80051,0000
input_medium_G4,Graph 4 (Kruskal),266,265,Kruskal,0 ms,514,80051,0000
input_medium_G5,Graph 5 (Prim),95,94,Prim,1 ms,17954,23524,0000
input_medium_G5,Graph 5 (Kruskal),95,94,Kruskal,0 ms,167,23524,0000
input_medium_G6,Graph 6 (Prim),41,40,Prim,0 ms,3040,12360,0000
input_medium_G6,Graph 6 (Kruskal),41,40,Kruskal,0 ms,68,12360,0000
input_medium_G7,Graph 7 (Prim),158,157,Prim,1 ms,49455,47457,0000
input_medium_G7,Graph 7 (Kruskal),158,157,Kruskal,0 ms,311,47457,0000
input_medium_G8,Graph 8 (Prim),69,68,Prim,0 ms,9384,19567,0000
input_medium_G8,Graph 8 (Kruskal),69,68,Kruskal,0 ms,126,19567,0000
input_medium_G9,Graph 9 (Prim),248,247,Prim,1 ms,123006,70896,0000
input_medium_G9,Graph 9 (Kruskal),248,247,Kruskal,1 ms,492,70896,0000
input_medium_G10,Graph 10 (Prim),77,76,Prim,0 ms,11932,19292,0000
input_medium_G10,Graph 10 (Kruskal),77,76,Kruskal,0 ms,124,19292,0000
input_small_G1,Graph 1 (Prim),7,6,Prim,0 ms,78,1929,0000
input_small_G1,Graph 1 (Kruskal),7,6,Kruskal,0 ms,11,1929,0000
input_small_G2,Graph 2 (Prim),21,20,Prim,0 ms,760,4748,0000
input_small_G2,Graph 2 (Kruskal),21,20,Kruskal,0 ms,29,4748,0000
input_small_G3,Graph 3 (Prim),24,23,Prim,0 ms,1081,7239,0000
input_small_G3,Graph 3 (Kruskal),24,23,Kruskal,0 ms,34,7239,0000
input_small_G4,Graph 4 (Prim),16,15,Prim,0 ms,480,4007,0000
input_small_G4,Graph 4 (Kruskal),16,15,Kruskal,0 ms,25,4007,0000
input_small_G5,Graph 5 (Prim),20,19,Prim,0 ms,741,7317,0000
input_small_G5,Graph 5 (Kruskal),20,19,Kruskal,0 ms,33,7317,0000
